id,Typologie cadeau,Cadeau,Lien,Tranche d'âge,Budget cible,Occasion,activités / centres d'intérêts,Relation,Personnalité / Préférences,Genre
27,Vêtement,Chemise,https://www.zalando.fr/ck-calvin-klein-bari-slim-fit-chemise-ck122d00j-k14.html,40 - 50 ans,50 - 75 €,Anniversaire,Mode,Amis,Aime bien s'habiller,Garçon
28,Vêtement,Chemise,https://www.zalando.fr/ck-calvin-klein-bari-slim-fit-chemise-ck122d00j-k14.html,50 - 60 ans,50 - 75 €,Noël,Mode,Amis,Aime bien s'habiller,Garçon
29,Vêtement,Chemise,https://www.zalando.fr/ck-calvin-klein-bari-slim-fit-chemise-ck122d00j-k14.html,50 - 60 ans,50 - 75 €,Anniversaire,Mode,Amis,Aime bien s'habiller,Garçon
30,Livre,Manga,https://www.amazon.fr/One-piece-originale-ODA-Eiichir%C3%B4/dp/2723488527/ref=sr_1_2?keywords=one+piece+manga&s=books&sr=1-2,12 - 18 ans,5 - 20 €,Noël,Lecture,Famille,N/A,Mixte
31,Livre,Manga,https://www.amazon.fr/One-piece-originale-ODA-Eiichir%C3%B4/dp/2723488527/ref=sr_1_2?keywords=one+piece+manga&s=books&sr=1-2,12 - 18 ans,5 - 20 €,Anniversaire,BD,,N/A,Mixte
32,Activité,Place de concert,https://www.fnacspectacles.com/artist/aya-nakamura/aya-nakamura-3285145/?affiliate=FS8,18 - 28 ans,50 - 75 €,Anniversaire,Musique,Amis,N/A,Mixte
33,Activité,Place de concert,https://www.fnacspectacles.com/artist/chinese-man/?affiliate=FS8,28 - 40 ans,35 - 50 €,Saint-Valentin,Musique,Amis,N/A,Mixte
34,Activité,Place d'opéra / musique classique,https://www.fnacspectacles.com/artist/lac-des-cygnes-ballet-orchestre-2023/le-lac-des-cygnes-ballet-orchestre-3193993/,50 - 60 ans,50 - 75 €,Noël,Musique classique,Famille,N/A,Mixte
35,Activité,Place d'opéra / musique classique,https://www.fnacspectacles.com/artist/lac-des-cygnes-ballet-orchestre-2023/le-lac-des-cygnes-ballet-orchestre-3193993/,50 - 60 ans,50 - 75 €,Anniversaire,Musique classique,Famille,N/A,Mixte
36,Equipement sportif,Gym ball,https://www.amazon.fr/Sveltus-Gymball-75-cm/dp/B073GR744S/ref=sr_1_9?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=gym+ball&sr=8-9,18 - 28 ans,5 - 20 €,Anniversaire,Sport,Famille,Bien-être,Fille
37,Equipement sportif,Gym ball,https://www.amazon.fr/Sveltus-Gymball-75-cm/dp/B073GR744S/ref=sr_1_9?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=gym+ball&sr=8-9,18 - 28 ans,5 - 20 €,,Yoga,Amis,Se détendre,
38,Jeux,Boules de pétanque,https://www.amazon.fr/Garden-Games-p%C3%A9tanque-Sacoche-Transport/dp/B00BAP2DMC/ref=sr_1_6?keywords=boules+de+p%C3%A9tanque&sr=8-6,28 - 40 ans,50 - 75 €,Anniversaire,Activités en plein air,Amis,Sociable,Garçon
39,Jeux,Boules de pétanque,https://www.amazon.fr/Garden-Games-p%C3%A9tanque-Sacoche-Transport/dp/B00BAP2DMC/ref=sr_1_6?keywords=boules+de+p%C3%A9tanque&sr=8-6,28 - 40 ans,50 - 75 €,Noël,Activités en plein air,Amis,Sociable,Garçon
40,Equipement sportif,Set de golf,https://www.amazon.fr/Callaway-2019-pour-Complet-12-pi%C3%A8ces-Package/dp/B07H2HQJR5/ref=sr_1_6?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=set+de+golf&sr=8-6,28 - 40 ans,100 € +,Noël,Activités en plein air,Famille,N/A,Garçon
41,Equipement sportif,Set de golf,https://www.amazon.fr/Callaway-2019-pour-Complet-12-pi%C3%A8ces-Package/dp/B07H2HQJR5/ref=sr_1_6?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=set+de+golf&sr=8-6,28 - 40 ans,100 € +,Noël,Activités en plein air,Famille,N/A,Garçon
42,Tech,Ecouteurs bluetooth,https://www.amazon.fr/%C3%89couteurs-Bluetooth-lntelligent-Automatique-Oreillette/dp/B0BS16VF7K/ref=sr_1_3?keywords=%C3%A9couteur+bluetooth&refinements=p_36%3A680943011&rnid=389179011&s=electronics&sr=1-3,18 - 28 ans,5 - 20 €,Anniversaire,Musique,Famille,N/A,Mixte
43,Tech,Ecouteurs bluetooth,https://www.amazon.fr/Ecouteurs-Bluetooth-%C3%89couteurs-R%C3%A9duction-Contr%C3%B4le/dp/B0BP7HKMNH/ref=sr_1_6?keywords=%C3%A9couteur+bluetooth&refinements=p_36%3A680944011&rnid=389179011&s=electronics&sr=1-6,28 - 40 ans,20 - 35 €,Noël,Sport,Amoureux/se,N/A,Mixte
44,Utilitaire,Trottinette électrique,https://www.amazon.fr/Xiaomi-trottinette-%C3%A9lectrique-autonomie-antid%C3%A9rapants/dp/B0B5PLRCLK/ref=sr_1_6?keywords=trottinette+%C3%A9lectrique&sr=8-6,18 - 28 ans,100 € +,Noël,N/A,Famille,Aime se balader,Mixte
45,Equipement sportif,Ballon de basket,https://www.amazon.fr/Wilson-Mini-Basketball-caoutchouc-Orange/dp/B01MUPZEZE/ref=sr_1_5?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=ballon+de+basket&sr=8-5,12 - 18 ans,5 - 20 €,Anniversaire,Sport,Famille,N/A,Garçon
46,Equipement sportif,Kit badmington,https://www.amazon.fr/Jeu-Badminton-Joueurs-Ext%C3%A9rieur-Plein/dp/B011PONRPY/ref=sr_1_6?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=kit+badminton&sr=8-6,12 - 18 ans,5 - 20 €,Anniversaire,Sport,Famille,N/A,Garçon
47,Equipement sportif,Kit badmington,https://www.amazon.fr/Jeu-Badminton-Joueurs-Ext%C3%A9rieur-Plein/dp/B011PONRPY/ref=sr_1_6?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=kit+badminton&sr=8-6,18 - 28 ans,20 - 35 €,Noël,Activités en plein air,,N/A,Garçon
48,Carte cadeau,Carte cadeau,FNAC,18 - 28 ans,20 - 35 €,Anniversaire,Culture ,Famille,Exigeant,Mixte
49,Carte cadeau,Carte cadeau,AMAZON,28 - 40 ans,35 - 50 €,Travail,N/A,Collègue,Exigeant,Mixte
50,Beauté / bien-être,Coffret cosmétique,https://www.amazon.fr/Marilou-Bio-Hydratation-D%C3%A9fatigant-D%C3%A9maquillant/dp/B09SV934D4/ref=sr_1_7?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=coffret+cosm%C3%A9tique&refinements=p_36%3A211725031&rnid=211723031&s=beauty&sr=1-7,18 - 28 ans,20 - 35 €,Anniversaire,Mode,Famille,Prend soin d'elle,Fille
51,Beauté / bien-être,Coffret cosmétique,https://www.amazon.fr/%C3%89NERGISANT-Nurture-Nature-essentielles-aromath%C3%A9rapie/dp/B09HXRGC14/ref=sr_1_39?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=coffret+cosm%C3%A9tique&refinements=p_36%3A211726031&rnid=211723031&s=beauty&sr=1-39,28 - 40 ans,35 - 50 €,Noël,Maquillage,Amis,Prend soin d'elle,Fille
52,Utilitaire,Robot cuisine,https://www.amazon.fr/W%C3%ABasy-Multifonction-Culinaire-Professionnel-pr%C3%A9programm%C3%A9es/dp/B07TKLMPJN/ref=sr_1_4?keywords=robot+cuisine&refinements=p_36%3A84665031&rnid=67553031&s=kitchen&sr=1-4,18 - 28 ans,50 - 75 €,Noël,Cuisine,Famille,Aime faire plaisir aux autres,Fille
53,Utilitaire,Robot cuisine,https://www.amazon.fr/Robot-Multifonction-Desire-24730-56-Russell/dp/B079TPV7SH/ref=sr_1_5?keywords=robot+cuisine&refinements=p_36%3A7500-10000&rnid=67553031&s=kitchen&sr=1-5,28 - 40 ans,75 - 100 €,Noël,Cuisine,,,Fille
54,Utilitaire,Robot cuisine,https://www.amazon.fr/Bosch-Electrom%C3%A9nager-MC812M844-MultiTalent-MC812M44/dp/B07HPRQJL1/ref=sr_1_4?keywords=robot+cuisine&refinements=p_36%3A10000-30000&rnid=67553031&s=kitchen&sr=1-4,40 - 50 ans,100 € +,Noël,Cuisine,,,Fille
55,Livre,Livre de cuisine,https://www.amazon.fr/NOPI-Ottolenghi-Yotam-Ottolenghi/dp/2011356830/ref=sr_1_1?keywords=ottolenghi&sr=8-1,28 - 40 ans,35 - 50 €,Anniversaire,Cuisine,Amis,Aime recevoir chez elle,Fille
56,Livre,Livre de cuisine,https://www.amazon.fr/Manuel-cuisinier-amateur-recettes-techniques/dp/2812321342/ref=sr_1_6?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=livre+cuisine&refinements=p_36%3A2000-3500&rnid=389153011&sr=8-6,18 - 28 ans,20 - 35 €,Anniversaire,Cuisine,Famille,N/A,
57,Art,Kit peinture / dessin,https://www.amazon.fr/Artina-Mallette-Leonardo-Ensemble-acrylique/dp/B016WPLWA8/ref=sr_1_13?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=kit+peinture&refinements=p_36%3A2000-3500&rnid=67553031&sr=8-13,12 - 18 ans,20 - 35 €,Noël,Art,Famille,Créatif,Mixte
58,Vêtement,Pull Saint-James,https://fr.saint-james.com/collections/homme/products/pull-marin-uni-matelot-coupe-ajustee-pure-laine-vierge-tango,28 - 40 ans,100 € +,Noël,Mode,Famille,Made in France,Garçon
59,Livre,Petit Ours Brun,https://www.cultura.com/p-ma-premiere-bibliotheque-petit-ours-brun-9791036349744.html,0 - 6 ans,5 - 20 €,Anniversaire,N/A,Famille,N/A,Mixte
60,Livre,Petit Ours Brun,https://www.cultura.com/p-ma-premiere-bibliotheque-petit-ours-brun-9791036349744.html,0 - 6 ans,5 - 20 €,Noël,N/A,Famille,N/A,Mixte
61,Peluche,Peluche bébé,https://www.petiteamelie.fr/peluche-licorne-doudou-decoration.html?srsltid=AR57-fBZVHpGuYr4g6T6ct1dRDfjankdSp1aJ7zDk_ueLtI9lhyZ2A9193Q# ,0 - 6 ans,5 - 20 €,Anniversaire,N/A,Famille,Made in France,Mixte
62,Peluche,Peluche bébé,https://www.petiteamelie.fr/peluche-licorne-doudou-decoration.html?srsltid=AR57-fBZVHpGuYr4g6T6ct1dRDfjankdSp1aJ7zDk_ueLtI9lhyZ2A9193Q# ,0 - 6 ans,5 - 20 €,Noël,N/A,Famille,N/A,Mixte
63,Peluche,Peluche bébé,https://www.petiteamelie.fr/peluche-licorne-doudou-decoration.html?srsltid=AR57-fBZVHpGuYr4g6T6ct1dRDfjankdSp1aJ7zDk_ueLtI9lhyZ2A9193Q# ,0 - 6 ans,5 - 20 €,Naissance,N/A,Amis,Made in France,Mixte
64,Utilitaire,Bavoir tablier,https://www.petitsixieme.com/repas/4063-konges-slojd-bavoirs-bebe-cherry-petit-sixieme.html,0 - 6 ans,20 - 35 €,Naissance,N/A,Mixte,Made in France,
65,Livre,Livre d'apprentissage Joe ,https://www.amazon.fr/dp/293041782X/ref=cm_gf_aBN_d_bt30_p0_e0_qd0_GuU2lLvN99JeJob6stjn,0 - 6 ans,20 - 35 €,Naissance,N/A,,N/A,Mixte
66,Utilitaire,Couverture bébé,https://www.amazon.fr/dp/B086QNQXRJ/ref=cm_gf_aBN_d_bt30_p0_e0_qd1_e3yjtOGhedP3Fi6wc9cr,0 - 6 ans,20 - 35 €,Naissance,N/A,,N/A,Mixte
67,Peluche,Peluche oreiller,https://www.amazon.fr/dp/B092NJ7JSN/ref=cm_gf_aBN_d_bf30_bt50_p0_e0_qd0_xeXokXXOM7n8rTW4bYJw,0 - 6 ans,35 - 50 €,Naissance,N/A,,N/A,Mixte
68,Utilitaire,Baignoire pour bébé pliable,https://www.amazon.fr/dp/B0BRSDMMWM/ref=cm_gf_aBN_d_bf30_bt50_p0_e0_qd0_ytymAMaA5XORsyC0AQaa,0 - 6 ans,35 - 50 €,Naissance,N/A,,N/A,Mixte
