id,Typologie cadeau,Cadeau,Lien,Tranche d'âge,Budget cible,Occasion,activités / centres d'intérêts,Relation,Personnalité / Préférences,Genre
92,Tech,Caisson de basse,https://www.amazon.fr/Echo-Sub-Caisson-De-Basses-Puissant-Pour-Votre-Echo/dp/B07FHLTV68/ref=sr_1_12?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=appareils+amazon&pf_rd_r=G0NM6XT1JBGZ3E8JXQDF&refinements=p_89%3AAmazon&rnid=428393031&s=computers&sr=1,28 - 40 ans,100 € +,Anniversaire,Musique,,N/A,Mixte
93,Tech,Caisson de basse,https://www.amazon.fr/Echo-Sub-Caisson-De-Basses-Puissant-Pour-Votre-Echo/dp/B07FHLTV68/ref=sr_1_12?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=appareils+amazon&pf_rd_r=G0NM6XT1JBGZ3E8JXQDF&refinements=p_89%3AAmazon&rnid=428393031&s=computers&sr=1,28 - 40 ans,100 € +,Anniversaire,Musique,,N/A,Mixte
94,Beauté / bien-être,Lisseur à cheveux,https://www.sephora.fr/p/styler%C2%AE-ghd-gold%C2%AE---lisseur-P3394016.html,12 - 18 ans,100 € +,Anniversaire,Mode,,N/A,Fille
95,Beauté / bien-être,Lisseur à cheveux,https://www.sephora.fr/p/styler%C2%AE-ghd-gold%C2%AE---lisseur-P3394016.html,12 - 18 ans,100 € +,Noël,Mode,,N/A,Fille
96,Beauté / bien-être,Coffret parfum,https://www.galerieslafayette.com/p/my+way+-+coffret+eau+de+parfum-giorgio+armani/92725617/378,18 - 28 ans,100 € +,Anniversaire,Mode,,N/A,Fille
97,Beauté / bien-être,Coffret parfum,https://www.galerieslafayette.com/p/my+way+-+coffret+eau+de+parfum-giorgio+armani/92725617/378,18 - 28 ans,100 € +,Noël,Mode,,N/A,Fille
98,Beauté / bien-être,Lotion exfoliante,https://www.galerieslafayette.com/p/skin+perfecting+lotion+exfoliante+2+bha-paula+s+choice/68299487/378,18 - 28 ans,35 - 50 €,Anniversaire,N/A,,Prend soin d'elle,Fille
99,Beauté / bien-être,Lotion exfoliante,https://www.galerieslafayette.com/p/skin+perfecting+lotion+exfoliante+2+bha-paula+s+choice/68299487/378,18 - 28 ans,35 - 50 €,Anniversaire,N/A,,Prend soin d'elle,Fille
100,Utilitaire,Mousseur capuccino,https://www.amazon.fr/Vinabo-%C3%89lectrique-%C3%A9lectrique-Cappuccino-inoxydable/dp/B0BG8JMBH1/ref=sr_1_5?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=mousseur+cappuccino&sr=8-5,28 - 40 ans,5 - 20 €,Secret Santa,Cuisine,,N/A,Mixte
101,Utilitaire,Mousseur capuccino,https://www.amazon.fr/Vinabo-%C3%89lectrique-%C3%A9lectrique-Cappuccino-inoxydable/dp/B0BG8JMBH1/ref=sr_1_5?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=mousseur+cappuccino&sr=8-5,18 - 28 ans,5 - 20 €,Secret Santa,Cuisine,,N/A,Mixte
102,Activité,Micro Karaoke,https://www.amazon.fr/Microphone-Bluetooth-Anniversaire-Compatible-Smartphone/dp/B0B3TNQR4N/ref=sr_1_7?keywords=micro+karaoke&sr=8-7,18 - 28 ans,20 - 35 €,Secret Santa,Musique,,N/A,Fille
103,Carte cadeau,Carte cadeau,AMAZON,28 - 40 ans,35 - 50 €,Secret Santa,N/A,Collègue,Exigeant,Mixte
104,Déco,Bougie,https://www.amazon.fr/s?k=bougie&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss_1,18 - 28 ans,20 - 35 €,Secret Santa,N/A,,N/A,Fille
105,Déco,Bougie,https://www.amazon.fr/s?k=bougie&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss_1,28 - 40 ans,20 - 35 €,Remerciement,N/A,,N/A,Fille
106,Déco,Bougie,https://www.amazon.fr/s?k=bougie&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss_1,28 - 40 ans,20 - 35 €,Secret Santa,N/A,,N/A,Fille
107,Déco,Bougie,https://www.amazon.fr/s?k=bougie&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss_1,18 - 28 ans,20 - 35 €,Remerciement,N/A,,N/A,Fille
108,Déco,Lampe coucher de soleil,https://www.amazon.fr/projection-arc-en-ciel-visuelle-romantique-Rotation/dp/B091TTLYGX/ref=sr_1_7?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=lampe&sr=8-7,18 - 28 ans,20 - 35 €,Anniversaire,N/A,,N/A,Fille
109,Déco,Lampe coucher de soleil,https://www.amazon.fr/projection-arc-en-ciel-visuelle-romantique-Rotation/dp/B091TTLYGX/ref=sr_1_7?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=lampe&sr=8-7,18 - 28 ans,20 - 35 €,Noël,N/A,,N/A,Fille
110,Cuisine,Coffret assiettes,https://www.galerieslafayette.com/p/coffret+de+4+assiettes+assorties+anjali-amadeus/86666481/401,18 - 28 ans,35 - 50 €,,Cuisine,,,Fille
111,Cuisine,,,28 - 40 ans,35 - 50 €,,Cuisine,,,
112,Cuisine,,,40 - 50 ans,35 - 50 €,,Cuisine,,,
113,Cuisine,Porte bouteilles,https://www.galerieslafayette.com/p/rack+drak+12+bouteilles-traditional+wine+rack+co/24220904/378,,35 - 50 €,,Cuisine,,,Garçon
114,Cuisine,Laguioles,https://www.galerieslafayette.com/p/menagere+laguiole+production+24+couverts+metal-laguiole/300411620452/378,,35 - 50 €,,Cuisine,,,Garçon
115,Cuisine,Plateau,https://www.galerieslafayette.com/p/plateau+rond+en+metal+dore+louisa-la+redoute+interieurs/300407074548/306,,35 - 50 €,,Cuisine,,,Fille
116,Cuisine,maquillage DIOR,https://www.galerieslafayette.com/p/coffret+diorshow+-+look+couture+essentiels+yeux+et+levres-dior/91022130/378,18 - 28 ans,35 - 50 €,,Bien-être,,,Fille
117,Cuisine,chouchous,https://www.galerieslafayette.com/p/chouchous+pure+soie+slip+mini+-+ete+italien-slip+silk/92649265/378,18 - 28 ans,35 - 50 €,,Bien-être,,,
118,Cuisine,tapis bébé,https://www.galerieslafayette.com/p/matelas+de+jeu+gaze+de+coton+clementine-la+redoute+interieurs/300413240660/356,0 - 6 ans,35 - 50 €,,,,,
119,voyage,trousse de toilette,https://www.galerieslafayette.com/p/vanity+xl+paradise-wouf/87191493/306,28 - 40 ans,35 - 50 €,,Voyage,,,
120,Bien-être,blush chanel,https://www.galerieslafayette.com/p/creme+belle+mine+ensoleillee+-+format+voyage-chanel/93096759/406010,28 - 40 ans,35 - 50 €,,,,,
121,Bien-être,zao,https://www.galerieslafayette.com/p/palette+ombres+a+paupieres+clin+d+oeil-zao+make+up/300418277706/216000,28 - 40 ans,35 - 50 €,,,,,
122,Déco,coussin orange,https://www.galerieslafayette.com/p/coussin+decoratif+scarlett+tomette-jalla/79754844/401,28 - 40 ans,35 - 50 €,,,,,
